Distrito;IMM2019;IMM2018;IMM2017;IMM2016;IMM2015;IMM2014;IMM2013;IMM2012;IMM2011;IMM2010;IMM2009;IMM2008;IMM2007;IMM2006;TUEF2021;TUEF2020;TUEF2019;TUEF2018;TUEF2017;TUEF2016;TUEF2015;TUEF2014;TUEF2013;TUEF2012;TUEF2011;TUEF2010;TUEB2021;TUEB2020;TUEB2019;TUEB2018;TUEB2017;TUEB2016;TUEB2015;TUEB2014;TUEB2013;TUEB2012;TUEB2011;TUEB2010;POPRUA2021;POPRUA2019;POPRUA2015;POPRUA2011;POPRUA2009;POPRUA2000;BF2020;BF2019;BF2018;BF2017;BF2016;BF2015;BF2014;BF2013;FV2021;FV2020;FV2019;FV2018;FV2017;FV2016;FV2015;FV2014;FV2013;FV2012;FV2011;FV2010;AGUA2010;AGUA2000;ESGOTO2010;ESGOTO2000;EXTPOB2020;EXTPOB2019;EXTPOB2018;EXTPOB2017;EXTPOB2016;EXTPOB2015;EXTPOB2014;EXTPOB2013;V2007;V2008;V2009;V2010;V2011;V2012;V2013;V2014;V2015;V2016;V2017;V2018;V2019;V2020;V2021;V2022;C2007;C2008;C2009;C2010;C2011;C2012;C2013;C2014;C2015;C2016;C2017;C2018;C2019;C2020;C2021;C2022
Guaianases;60,96;62,77;61,16;59,28;59,14;59,77;59,05;57,22;59,05;57,42;55,97;59,22;55,81;55,98;97,7;100,34;100,81;99,3;93,23;97,02;97,27;96,13;96,1;97,35;93,98;91,46;92,59;84,79;85,24;86,38;93,4;89,68;93,19;93,82;119,94;92,35;92,18;92,94;199;187;29;0;5;5;5255;5763;6212;4991;6095;12881;4472;3565;2,92;2,97;3,01;3,06;3,11;3,16;3,06;2,49;2,34;2,38;5,68;5,77;1,51;0,75;13,11;19,61;5262;7702;7943;7764;7900;7331;7736;5993;1056;1055;1162;1150;1060;1103;1109;1080;1104;1083;1110;1016;962;886;796;713;784;759;822;787;833;831;873;909;785;781;839;774;816;844;671;586
Iguatemi;59,72;59,33;58,5;58,79;57,49;53,11;55,64;54,17;57,29;54,99;54,52;55,76;53,24;52,54;112,57;114,86;116,88;110,04;106,57;106,32;107,98;110,49;110,47;111,45;110,02;109,73;107,65;97,65;99,94;98,54;110,69;107,01;46,43;45,35;96,46;41,08;36,78;110,12;1;58;0;0;0;4;9156;10596;11908;9028;12128;18073;7031;5189;7,14;7,29;7,48;7,67;7,87;9,58;8,29;8,52;8,77;7,34;8,63;8,88;2,04;3,83;14,21;29,52;10046;12949;15145;15796;13993;12809;10261;7653;1229;1311;1299;1304;1364;1353;1309;1334;1397;1311;1401;1353;1300;1283;1245;1160;909;1064;976;920;1020;1064;1020;1055;1070;1012;979;1000;984;955;866;770
Ipiranga;74,85;73,4;74,62;72,86;72,13;74,84;72,61;72,82;71,09;70,64;70,4;69,94;70,27;71;109,96;110,07;117,85;116,23;118,69;125,59;129,24;132,47;134,8;135,4;136,25;134,43;117,48;108,83;113;113,33;127,13;113,6;196;203,08;139,58;203,2;208,88;131,54;451;163;92;0;314;63;1667;1924;2032;2190;2398;5431;1850;1414;3,25;3,28;3,31;3,34;3,38;3,41;3,45;3,49;3,53;3,57;1,46;1,64;0,23;0,11;1,82;4,76;2121;2655;2708;3210;3113;2833;2801;2179;524;550;556;515;543;544;493;553;619;602;548;580;536;503;473;431;780;844;827;830;898;866;943;949;878;864;797;783;776;712;641;534
Itaim Bibi;78,39;79,01;79,9;78,99;78,25;79,64;78,95;76,91;76,04;77,2;78,45;76,85;76,83;75,23;70,77;75,84;83,95;91,41;95,61;103,8;109,58;115,19;121,53;128,18;135;143,14;69,6;67,29;74,62;79,26;87,02;97,11;189,48;198,19;154,85;212,69;241,27;147,09;57;59;50;0;25;109;239;340;342;207;232;631;161;138;0,75;0,75;0,76;0,76;0,77;0,77;0,78;0,69;0,7;0,71;0,72;0,73;0,12;0;0,16;0,3;333;432;469;257;288;278;373;310;216;243;209;209;234;265;258;316;342;371;383;397;409;408;384;345;740;782;826;838;855;881;830;846;783;742;841;817;795;723;707;602
Itaim Paulista;62,85;61,26;61,82;62,15;59,27;59,51;59,82;59,95;58,15;57,85;58,01;55,11;55,84;55,4;114,36;116,74;117,46;115,59;110,58;113,96;116,26;118,21;119,19;117,61;114,39;110,88;108,36;99,66;99,89;99,7;106,56;100,29;34,11;34,18;90,45;33,42;22,11;107,38;149;75;47;0;17;12;13326;14693;15388;12574;15768;26830;10402;8025;6,11;6,36;6,46;6,4;6,67;6,31;6,87;6,98;7,1;7,45;8,18;8,32;0,39;0,57;8,6;12,52;14912;19022;19709;20068;18856;17046;16457;12746;2194;2195;2145;2072;2175;2148;2048;2114;2223;2104;2212;2092;2017;1955;1718;1516;1530;1625;1630;1655;1679;1766;1687;1757;1574;1514;1377;1345;1329;1267;1168;948
Itaquera;64,93;64,99;64,82;65,21;63,93;61,03;62,64;61,06;62,14;61,72;60;59,88;59,76;58,78;104,96;106,06;99,96;99,17;94,6;97,73;98,72;101,79;99,66;97,37;95,06;92,91;99,2;90,29;85,97;86,43;92,31;94,75;124,35;128,59;111,03;128,44;129,67;95,32;308;128;18;0;20;9;7617;8429;9456;7858;9525;21021;8079;6130;6,03;6,1;6,17;6,24;6,32;3,46;4,75;4,81;4,87;4,92;5,63;5,7;0,29;0,67;8,11;11,58;8532;11294;12384;13061;12908;13008;13246;9510;1599;1571;1505;1539;1538;1561;1432;1545;1593;1513;1520;1555;1494;1330;1376;1190;1716;1672;1600;1650;1717;1659;1726;1687;1744;1627;1640;1611;1576;1514;1409;1175
Jabaquara;71,07;70,34;70,89;68,73;69,73;68,43;68,91;67,01;67,89;67,77;66,76;64,97;64,67;64,49;82,11;85,07;86,44;86,52;84,92;85,98;90,8;91,28;92,98;93,45;92,63;91,77;81,95;76,28;76,95;77,91;85,66;83,66;107,36;110,47;92,47;107,18;99,87;94,58;345;244;290;0;239;41;6068;7213;7657;6516;7537;15585;4958;3510;16,42;16,55;16,71;16,87;17,03;15,92;17,36;17,76;17,95;17,88;19,58;19,78;1;0,28;8,31;9,11;7919;9581;10104;9742;8820;7896;8302;6040;1469;1483;1353;1449;1469;1431;1304;1277;1354;1450;1436;1451;1358;1272;1137;1016;1805;1843;1757;1803;1797;1725;1809;1714;1576;1527;1432;1343;1306;1209;1070;988
Jacana;67,1;67,44;67,76;66,69;67,94;66,33;66,81;66,18;66,86;65,23;64,2;64,55;63,22;64,52;145,87;143,4;663,06;660,55;134,85;674,14;134,62;137,23;136,98;135,93;133,5;128,71;134,39;122,87;563,02;577,74;127,5;102,32;917,99;922,45;669,56;889,51;912,67;506,8;236;161;158;0;23;9;3677;3992;4313;2902;3578;6643;2058;1739;8,24;8,31;6,98;7,05;7,12;7,19;6,23;6,3;6,19;5,94;9,04;7,58;1,3;1,41;9,42;9,8;4145;5433;5556;4925;4141;3832;3423;2679;598;634;628;640;566;591;517;544;563;533;588;611;596;601;521;427;582;612;597;627;624;662;650;662;603;613;587;642;603;537;509;431
Jaguara;71,56;69,39;73,39;73,94;71,9;73,08;73,58;67,03;70,16;69,49;69,55;68,31;67,53;69,16;170,97;174,98;67,73;66,73;168,39;63,26;168,64;165,25;162,75;161,06;161,17;166,73;148,45;136,55;53,15;54,32;150,07;157,83;186,31;194,8;87,5;189,95;245,06;75,67;12;4;27;0;10;3;328;346;373;300;324;930;232;222;2,67;2,68;2,68;2,69;2,69;2,7;2,7;2,71;2,09;2,09;2,1;2,1;0,28;0,29;3,19;9,79;352;524;482;432;417;383;501;416;114;97;117;107;103;85;105;96;91;98;141;104;109;113;99;85;222;210;225;223;202;198;199;194;190;183;189;194;162;161;188;164
Jaguaré;69,38;68,3;67,2;66,65;68,04;66,19;66,56;63,17;67,13;65,47;62,29;65,87;61,63;65,24;69,61;73,47;17,54;16,87;67,43;15,74;68,54;70,83;70,92;71,26;72,01;68,83;65,38;62,23;14,79;14,68;68,76;62,52;16,06;15,86;15,29;15,65;13,87;15,41;81;17;7;0;17;5;1124;1200;1330;1017;1472;3665;998;726;8,17;8,29;7,77;7,91;8,05;8,2;7,87;9,26;9,47;9,67;34,18;34,94;4,94;0,33;8,33;24,11;1069;1703;1893;1467;1880;1597;1709;1267;323;315;315;341;350;370;327;369;365;347;403;371;369;337;329;249;358;379;407;391;455;439;459;473;462;433;449;470;416;399;348;295
Jaragua;61,85;61,18;61,44;60,63;59,54;58,27;59,24;57,89;59,3;57,86;57,05;56,66;54,51;53,84;117,13;119,28;67,99;67,33;115,29;67,34;120,71;121,65;117,75;121,11;119,72;115,7;113,19;103,55;60,22;59,69;114,96;112;16,7;16,29;53,28;14,66;8,74;65,19;30;9;6;0;6;3;9255;10131;11433;8558;11366;18211;6758;4613;13,63;13,89;14,2;14,52;14,85;20,79;16,85;15,27;14,21;14,04;14,44;14,79;1,95;1,3;13,29;15,28;11968;14166;14322;13812;12999;12533;10405;7720;1616;1609;1563;1502;1693;1583;1429;1497;1576;1529;1635;1588;1531;1457;1350;1169;1406;1535;1474;1605;1613;1656;1704;1635;1699;1510;1534;1484;1421;1268;1218;1101
Jardim Angela;58,75;59,39;58,82;55,95;55,23;55,16;54,57;53,1;53,6;53,9;53,12;51,94;51,21;49,01;95,61;96,81;251,16;251,43;92,19;244,57;96,46;101,22;102,54;103,38;103,29;100,85;92,9;84,12;215,49;218,15;92,83;86,38;173,86;167,92;215,25;157,74;153,39;222,26;25;25;0;0;0;0;18109;17827;20199;14146;21412;38525;13058;11197;19,41;19,83;20,32;20,82;21,34;16,45;19,43;20;20,52;22,57;16,87;17,36;2,02;4,29;21,21;37,49;20238;27645;26857;22739;26742;23584;24163;19914;3003;3093;3276;3323;3504;3416;3359;3613;3669;3270;3435;3429;3535;3011;2951;2407;2372;2349;2259;2277;2428;2325;2387;2307;2275;2266;2327;2018;1924;1852;1769;1540
Jardim Helena;62,97;62,4;61;61,38;61,08;61,54;59,8;60,15;58,17;58,13;58,01;57,74;56,96;56,7;101,58;101,9;275,2;287,75;97,62;308,74;101,62;103,18;104,03;104,66;102,62;99,94;96,76;86,71;242,21;254,83;96,27;100,91;724,74;749,95;480,95;820,57;855,6;436,11;36;20;12;0;8;1;8557;8035;8605;5995;9753;18722;8263;5824;12,31;12,45;12,59;12,73;12,87;13,01;13,05;13,16;13,53;13,64;6,05;6,11;2,32;5,47;16,32;24,46;8862;12174;10854;9931;12525;12531;12931;8893;1398;1350;1499;1370;1486;1325;1385;1470;1521;1407;1555;1457;1423;1245;1173;1047;1061;1050;1099;1045;1041;1071;1101;1079;1028;977;956;952;875;848;741;682
Jardim Paulista;81,8;80,1;80,12;79,76;79,39;79,34;78,19;78,91;78,18;78,76;77,42;77,03;76,39;78,14;62,11;63,98;12,33;12,42;71,36;12,67;79,78;79,43;78,94;80,55;80,74;81,44;61,15;62,32;11,25;11,16;71,42;72,52;49,89;51,44;21,43;53,04;53,57;10,88;212;123;99;0;82;176;112;106;85;61;1594;1473;85;118;0;0;0;0;0;0;0;0;0;0;0;0;0,18;0,32;0,09;2,17;184;227;124;87;1931;1184;147;174;196;211;233;200;214;211;216;251;261;256;316;284;264;286;265;220;554;585;591;598;616;612;590;569;544;505;522;506;464;408;395;375
Jardim Sao Luis;63,23;62,48;62,35;62,39;59,76;58,74;59,97;56,9;58,64;58,26;57,96;56,32;57,09;56,21;94,01;98,11;325,17;326,14;98,06;314,67;103,9;106,74;107,66;108,84;107,2;104,82;92,35;85,52;285,73;286,73;96,48;96,04;73,74;70,38;255,02;65,03;35,26;321,62;118;26;13;0;5;15;10433;13387;15733;14631;14294;29315;9801;8686;20,55;20,88;21,08;21,47;20,84;21,18;22,61;23,02;23,9;24,45;25,04;25,57;0,19;1,32;9,34;11,8;12008;16046;20771;23826;19506;17457;18514;15534;2157;2221;2249;2252;2211;2237;2126;2143;2296;2043;2136;2039;1974;1779;1746;1498;2130;2194;2153;2211;2256;2200;2038;2083;2023;1959;2011;1968;1874;1622;1472;1286
Jose Bonifacio;65,24;63,58;63,15;63,67;61,47;62,77;61,92;62,27;61,63;60,97;61,25;60,48;60,11;60,26;84,22;83,89;98,18;98,89;93,48;95,37;96,08;100,86;103,1;105,82;107,18;106,45;84,33;36,12;86,47;88,86;95,56;86,81;201,4;209,52;122,72;205,23;222,81;104,93;142;99;11;0;8;1;3765;3675;3985;3025;4904;9579;2833;2381;1,25;1,27;1,29;1,32;1,34;1,46;1,39;1,38;1,41;1,44;1,69;1,73;2,4;2,02;7,11;6,24;4424;5701;5325;4935;6152;5670;5141;4041;741;851;741;812;821;825;794;800;841;829;819;761;719;688;688;605;830;927;882;855;947;978;901;923;881;856;816;860;749;737;652;592
Lajeado;61,87;59,99;60,78;58,34;58,04;58,73;57,25;55,9;55,18;56,4;56,49;56,93;57,07;54,39;82,27;82,61;81,26;80,07;77,05;79,07;81,45;83,45;83,61;83,05;81,9;78,58;82,6;73,55;73,1;73,65;79,21;79,99;71,37;72,95;47,27;72,8;68,29;84,02;192;86;48;0;14;2;9659;10983;11863;9866;11928;23892;8546;7068;7,06;7,17;7,3;7,42;7,55;7,57;9,78;9,68;9,9;10,08;9,75;9,93;1,06;0,7;12,49;19,69;11299;14832;16213;16187;15652;13905;14497;11418;1595;1586;1607;1612;1672;1662;1683;1703;1814;1752;1730;1747;1556;1460;1329;1178;1125;1181;1203;1195;1324;1318;1261;1376;1281;1299;1324;1260;1266;1125;1048;911
Lapa;79,16;78,55;77,96;77,25;76,39;76,75;76,74;74,56;76,89;76,2;75,65;75,05;75,61;76,18;131,01;130,5;133,39;135,82;132,63;140,32;143,67;144,8;146,19;138,03;146,21;150,49;145,83;134,7;140,69;147,3;160,85;139,81;150,96;159,02;149,99;158,25;189,72;185,49;297;305;97;0;68;65;742;1308;1358;1112;431;1138;207;155;0,51;0,51;0,51;0,51;0,52;0,52;0,52;1,13;1,14;1,15;1,15;1,16;0,16;0,05;0,4;1,55;1051;1201;1753;1466;544;456;426;345;195;162;163;156;170;162;180;219;227;225;241;228;238;228;238;250;507;547;543;619;524;577;560;576;543;488;516;482;521;467;432;376
Liberdade;75,34;74,89;73,53;73,93;73,88;74,16;71,51;72,35;71,96;71,66;71,13;70,26;70,68;71,15;69,2;76,27;78,11;80,65;80,26;84,43;88,1;93,26;95,3;99,41;101,28;99,84;74,18;72,53;76,05;78,26;87,51;94,23;102,94;102,98;157,37;105,42;96,8;122,44;429;339;175;615;414;736;785;988;1074;703;872;1519;520;387;0,28;0,28;0,29;0,29;0,29;0,3;0,3;0,3;0,31;0,31;0,32;0,32;0;0;0,08;0,16;1105;1393;1483;1292;1024;794;813;665;301;268;276;272;295;270;236;279;259;261;288;279;288;260;226;200;527;520;529;564;558;587;493;495;467;460;391;453;422;357;332;279
Limao;71,15;70,56;70,85;69,09;67,87;66,29;68,79;67,76;66,91;68,12;66,53;65,81;63,87;63,65;99,83;104,24;106,65;109,78;108,66;113,26;117,33;119,63;118,5;118,76;120,03;115,63;92,6;86,85;89,37;87,36;103,3;100,72;109,57;112,07;116,66;111,71;108,06;109,83;137;38;23;0;21;2;2162;2319;2310;1603;2192;4055;1487;1081;8,25;8,29;8,34;8,39;8,43;9,86;8,53;6,11;6,16;4,91;4,72;4,74;0,18;0,14;3,64;6,57;2506;3324;2984;2395;2531;2222;2637;1999;634;596;629;559;612;635;600;596;585;621;544;557;508;465;434;369;717;716;665;730;705;722;743;773;754;695;649;585;557;517;522;466
Mandaqui;72,9;72,8;71,9;70,06;72,59;71,33;69,73;70,3;68,95;68,39;68,09;66,63;68,09;66,17;87,57;92,3;93,2;87,94;90,4;94,42;95,79;96,41;95,35;96,7;98,5;97,32;84,31;80,86;81,09;78,22;66,65;91,66;98,14;100,36;43,32;96,57;94,02;98,75;42;20;26;0;7;9;1163;1472;1515;1384;1181;2962;712;770;3,05;3,07;3,1;3,12;3,15;6,76;3,2;3,23;3,26;3,29;3,32;3,35;0,13;0,04;1,4;2,05;1649;2016;2050;1982;1419;1323;1630;1458;479;532;485;458;435;410;396;380;408;427;445;434;433;352;347;319;885;921;830;862;854;856;804;817;814;759;690;693;633;604;511;510
Marsilac;67,06;59,84;59,05;59,65;61,19;64;56,24;61,96;56,87;57,26;58,1;55,59;51,86;50,43;138,39;140,02;134,03;126,35;113,99;118,55;112,46;111,35;108,22;107,34;104,91;98,21;128,37;114,26;109,88;104,09;311,34;97,43;98,01;100,1;334,01;111,6;93,6;87,14;0;0;0;0;0;0;801;1137;1379;932;1044;1227;296;198;2,65;2,69;2,73;2,77;2,82;2,86;2,91;2,95;2,98;3,03;3,07;3,11;88,04;97,92;99,62;99,67;767;1111;1695;1598;1171;981;432;293;71;57;60;78;60;59;77;67;81;74;67;69;61;69;49;58;34;26;39;31;54;47;49;51;44;42;35;46;29;33;24;32
Moema;79,92;81,13;79,03;79,56;78,79;77,72;79,38;78,59;77,76;76,49;77,03;77,41;74,46;75,32;126,33;122,48;114,68;113,13;108,85;111,51;115,02;117,48;121,05;122,17;125,25;126,95;127,53;116,67;109,3;107,28;114,9;103,4;105,42;106,01;108,76;115,32;118,61;132,42;357;63;44;0;72;38;115;89;74;47;62;212;40;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,34;162;218;125;63;84;82;94;78;165;162;167;180;150;185;188;173;214;190;238;266;250;220;238;237;644;639;672;716;695;634;653;629;604;540;564;572;505;494;460;421
Mooca;77,74;77,06;75,77;77,34;76,48;75,4;75,11;74,86;73,76;74,59;75,04;73,68;72,96;73,42;80,75;82,35;81,21;85,11;84,1;88,23;91,7;92,73;92,43;94;98,88;101,74;90,18;82,91;81,77;84,74;91,01;89,95;86,46;87,5;265,45;90,21;94,01;113,98;1511;1317;1359;159;1280;1061;2002;2004;1918;1552;2957;3910;536;1194;0,17;0,17;0,17;0,17;0,18;0,18;0,18;0,18;0,18;0,18;0,19;0,19;0,22;0,15;0,77;0,43;3255;3489;2853;2553;3577;3061;921;1512;216;176;226;245;242;267;246;265;297;255;271;293;251;240;257;206;611;583;613;674;688;694;698;658;686;605;620;590;547;502;477;388
Morumbi;73,54;73,75;71,48;72,42;72,88;72,84;72,68;70,23;72,51;71,68;69,47;70,72;67,93;68,62;106,24;112,27;109,11;102,83;102,89;109,97;112,35;112,59;119,16;118,52;124,22;124,42;105,17;103,51;99,37;93,28;104,19;97,8;400,91;411,68;174,01;414,27;455,55;124,31;9;12;5;0;10;1;1319;1190;1240;1368;1711;3755;1140;1048;14,58;14,07;14,27;14,47;14,68;14,89;14,92;15,09;15,37;15,66;14,53;14,81;1,02;0,55;5,35;8,26;1465;1991;1637;2041;2102;1934;2386;2049;334;307;290;301;280;280;284;268;304;300;263;245;257;215;238;172;438;457;480;442;472;441;487;454;409;378;352;349;318;276;270;232
Parelheiros;60,26;60,1;60,48;60,29;59,51;57,25;56,3;57,79;55,35;55,37;54,71;52,72;52,73;49,86;110,94;113,08;115,07;113,93;110,27;111,48;112,48;113,55;113,64;113,21;111,48;107,78;106,12;95,86;97,06;97,49;106,79;101,75;32,29;32,09;43,4;28,15;20,73;107,01;40;16;1;0;0;0;9133;8939;10037;7267;10618;18345;6085;5342;8,11;8,29;8,51;8,72;8,95;8,06;9,42;9,68;9,96;10,25;10,29;10,59;16,58;41,04;63,07;81,37;9332;13477;12522;11676;12379;12455;10823;9058;1344;1368;1298;1439;1421;1377;1365;1319;1501;1510;1667;1666;1537;1401;1310;1159;889;901;985;1018;1080;1040;1090;1129;1101;1040;1034;927;1025;1006;928;855
Pari;69,29;68,43;67,6;69,12;66,73;68,17;69,67;67,37;64,58;66,7;66,82;66,27;64,75;68,19;189,85;212,25;222,11;227,83;217,48;228,9;238,55;246,49;259,52;251,92;258,99;265,5;192,5;192,77;206,3;208,83;228;213,87;396,53;382,97;768,55;395,59;511,35;248,79;1618;1189;897;853;874;318;923;936;1038;466;1108;1611;281;492;2,04;2,06;2,09;2,11;2,14;2,16;2,19;2,22;2,25;2,28;2,31;2,35;0,2;0,2;7,6;1,68;1469;1528;1495;782;1335;1097;652;862;171;167;175;169;191;197;175;182;171;173;191;194;203;191;216;196;117;101;119;102;123;112;123;138;117;113;121;128;140;145;141;99
Parque Do Carmo;64,04;63,74;64,19;61,96;59,93;61,19;59,23;58,93;60,54;58,61;60,06;58;56,68;56,66;100,74;103,52;104,51;105,58;101,33;104,64;105,51;108,67;109,85;110,69;113,53;112,69;96,84;87,1;87,61;90,28;99,4;87,42;178,98;184,43;139,51;181,54;182,15;106,08;79;26;0;0;0;1;3176;3496;3429;2434;4261;7771;2556;2060;16,36;16,57;16,8;17,04;17,28;12,15;16,64;16,61;16,87;17,15;15,08;15,33;0,78;0,4;15,82;17,82;3707;13625;13577;11688;10641;9760;8453;6041;638;618;610;637;611;610;595;633;609;574;599;577;528;463;484;403;534;560;536;514;595;613;622;604;607;587;576;562;495;495;475;404
Pedreira;63,03;61,96;59,48;61;60,87;60,65;59,17;57,5;57,71;59,65;56,77;57,01;57,74;55,3;103,02;100,39;97,98;95,83;90,69;91,02;90,7;92,78;93,2;93,15;92,18;91,94;93,72;82,91;80;79,23;84,47;81,98;79,26;80,18;55,63;76,54;78,07;85,89;39;14;0;0;0;0;9147;9755;10373;7396;9005;16770;4815;3396;18,08;18,43;18,85;19,27;19,71;15,02;18,52;19;19,49;19,99;24,04;26,36;0,63;2,02;20,11;51,89;11902;4165;4485;4540;3651;3374;3421;2780;1221;1148;1228;1235;1286;1249;1269;1279;1286;1238;1269;1246;1247;1174;1148;978;1007;991;1058;1040;1132;1147;1180;1141;1051;1045;1031;937;956;931;821;720
Penha;72,4;72,45;72,28;71,8;70,83;70,84;70,46;69,9;70,85;68,96;69,99;69,19;69,07;69,04;118,29;119,07;120,76;117,9;115,32;116,08;116,8;116,89;115,48;115,58;117,43;119,38;130,92;118,68;118,85;119,25;131,59;120,44;56,55;56,21;90,41;57,88;56,48;128,43;368;264;180;0;277;111;2651;3181;3449;2883;3028;5716;1873;1546;6,11;6,13;6,17;6,21;6,25;6,28;6,02;6,09;5,22;5,26;4,94;4,98;0,4;0,3;2,03;4,62;3488;296;295;242;256;227;260;199;665;665;669;695;675;699;613;724;741;695;745;735;665;655;616;490;1005;992;961;974;975;1031;968;905;844;884;926;885;876;812;747;702
Perdizes;79,4;78,33;79;78,49;78,55;76,96;76,78;76,25;77,02;75,79;77,13;75,66;75,96;75,2;84,3;84,12;82,67;84,19;83,05;81,56;79,74;80,61;82,21;83,58;84,93;86,71;79,88;76,22;75,78;77,02;86,22;74,95;141,42;147,17;91,61;152,25;161,49;93,26;27;31;29;0;37;47;175;211;200;233;218;872;128;107;0;0;0;0;0;0;0;0;0;0;0;0;0;0,06;0,06;0,67;242;8040;7762;7480;6569;6122;4528;2947;224;238;222;248;237;239;251;277;308;303;312;297;282;296;280;270;820;854;812;884;866;820;780;785;703;615;618;581;555;519;435;393
Perus;61,27;61,85;59,8;61;60,23;59,65;58,79;57,93;56,89;59,51;56,05;58,78;57,33;56,69;101,59;103,54;104,54;106,02;101,36;103,32;107,63;110,8;109,99;111,87;112,05;109,93;102,28;92,61;93,58;98,53;106,66;101,67;64,46;65,56;132,09;60,28;59,82;112,37;118;18;6;0;5;8;5345;5614;6041;4359;5602;8635;2690;1741;10,46;10,65;10,86;11,07;11,29;11,52;11,75;12;12,25;12,51;28,06;29,09;1,82;8,42;14,4;28,41;6617;759;986;750;505;419;327;317;793;740;767;828;835;710;700;754;759;696;753;683;690;679;609;501;605;726;615;636;635;650;727;722;689;623;668;577;573;550;481;408
